"t_s","ws_mb","private_mb","gpu_proc_mb","gpu_total_mb","phys_used_mb","commit_mb","page_reads","pages_input","disk_read_b"
"37.06","27223.6","8248.3","0","8010","32386","19126.8","2309219","137216087","290134702592"
"37.41","27212.4","8248.3","0","8010","32386","19135","2309570","137291586","290454432256"
"37.74","27214.5","8248.3","0","8010","32388.2","19133.2","2309964","137352324","290663448064"
"38.09","27213.1","8248.3","0","8010","32386","19132.1","2310319","137428608","291014622720"
"38.45","27209.8","8248.3","0","8010","32386","19125.3","2310751","137513525","291369894912"
"38.8","27209.3","8248.3","0","8010","32388.4","19127.4","2311147","137598281","291711822336"
"39.16","27203.2","8248.3","0","8010","32389.1","19143.5","2311589","137670204","291996883456"
"39.5","27197.2","8248.3","0","8010","32386","19142.5","2312045","137754456","292344015360"
"39.85","27196.7","8248.3","0","8010","32385","19142.2","2312444","137836088","292677478912"
"40.2","27199.8","8248.3","0","8010","32385.6","19137.5","2312796","137911618","292995172864"
"40.57","27194.6","8248.3","0","8010","32385.8","19140.4","2313276","137988477","293242140672"
"40.92","27202.7","8248.3","0","8010","32386.7","19130.1","2313834","138040389","293515151360"
"41.28","27203.5","8248.3","0","8010","32386","19130.1","2314194","138120477","293859936256"
"41.62","27199.6","8248.3","0","8010","32385","19129.8","2314601","138205349","294182602752"
"41.98","27198.2","8248.3","0","8010","32386","19121.9","2315002","138285446","294525229056"
"42.34","27191.7","8248.3","0","8010","32386","19124.3","2315512","138353458","294796400640"
"42.69","27191.3","8248.3","0","8012","32386.1","19124","2316017","138427082","295095965696"
"43.06","27191.8","8248.3","0","8012","32386.1","19119.6","2316371","138504571","295420602368"
"43.41","27228.8","8248.3","0","8028","32385.1","19131.8","2316811","138576358","295714703360"
"43.76","27230.7","8248.3","0","8028","32385.1","19130.9","2317154","138651286","295982074880"
"44.11","27230.3","8248.3","0","8028","32385.1","19132.2","2317580","138700949","296219782144"
"44.48","27226.7","8248.3","0","8028","32385.4","19130.5","2317940","138780362","296561789440"
"44.84","27182.9","8248.3","0","8035","32386.7","19145.9","2318690","138865912","296902714368"
"45.19","27180.1","8248.3","0","8035","32386.7","19147.6","2319161","138950988","297240175616"
"45.56","27179.6","8248.3","0","8035","32386.5","19147.6","2319713","138987684","297331537920"
"45.92","27179.6","8248.3","0","8035","32391.9","19146.7","2319718","138987742","297331996672"
"46.29","27179.6","8248.3","0","8009","32392.9","19146.6","2319726","138987855","297332066304"
"46.65","27179.6","8248.3","0","8009","32392.9","19151.2","2319769","138988179","297337675264"
"47.01","27179.6","8248.3","0","8011","32390.9","19153.5","2320062","138991111","297406934528"
"47.37","27204.9","8248.3","0","8027","32385.8","19168.5","2320670","139051720","297663700480"
"47.73","27206.1","8248.3","0","8027","32386.7","19168.6","2321025","139128121","297984454144"
"48.11","27204.2","8248.3","0","8027","32386.3","19167.8","2321498","139207960","298310426112"
"48.48","27202","8248.3","0","8027","32385.7","19166.9","2321877","139293437","298653212160"
"48.84","27202.9","8248.3","0","8027","32386.5","19166.3","2322293","139349818","298850100736"
"49.19","27201.6","8248.3","0","8027","32386.7","19147.4","2326254","139381474","298975716864"
"49.54","27202.2","8248.3","0","8027","32386.7","19147.8","2331015","139419543","299132368384"
"49.91","27199.3","8248.3","0","8026","32385.8","19142.5","2335424","139464241","299330879488"
"50.27","27198.6","8248.3","0","8026","32386.4","19145.1","2335825","139540170","299675734016"
"50.62","27188.4","8248.3","0","8009","32386.3","19147.2","2336292","139623070","299996153344"
"50.97","27189.5","8248.3","0","8009","32386.5","19144.3","2336674","139683440","300208752128"
"51.34","27189.5","8248.3","0","8009","32386.2","19142.1","2337063","139756898","300550501888"
"51.69","27185.6","8248.3","0","8039","32386.7","19172.5","2337455","139830397","300849436160"
"52.08","27180.1","8248.3","0","8039","32386.6","19179.8","2337810","139901312","301151790592"
"52.44","27123","8248.3","0","8039","32386.8","19200.3","2338400","139979364","301460784640"
"52.83","27119.2","8248.3","0","8039","32389.7","19211","2338958","140023238","301645699584"
"53.2","27112.4","8248.3","0","8039","32385.8","19211.6","2339477","140087112","301909678592"
"53.56","27100.2","8248.3","0","8039","32386","19218.1","2339935","140172068","302250023424"
"53.91","27097.6","8248.3","0","8039","32387.3","19198.7","2340297","140251465","302578313728"
"54.27","27095.9","8248.3","0","8039","32386.8","19200.9","2340713","140336481","302936001024"
"54.62","27103.8","8248.3","0","8039","32386.7","19188.9","2341139","140404347","303197265408"
"54.97","27108.1","8248.3","0","8039","32386.8","19185.2","2341487","140480119","303499927040"
"55.34","27102.6","8248.3","0","8039","32386.8","19184.7","2341870","140559119","303833284096"
"55.69","27108.9","8248.3","0","8039","32385.6","19179.5","2342233","140630790","304119582208"
"56.04","27107.1","8248.3","0","8039","32392.3","19180.1","2342634","140688841","304316444160"
"56.4","27130.8","8248.3","0","8039","32386.7","19182.7","2343040","140761373","304670191104"
"56.74","27129.9","8248.3","0","8039","32386.8","19183.5","2343420","140844955","305008348672"
"57.1","27128","8248.3","0","8039","32386.8","19183.8","2343831","140930941","305363684864"
"57.48","27127.5","8248.3","0","8039","32386","19180.8","2344485","141007988","305672946176"
"57.84","27129","8248.3","0","8039","32386.2","19182.1","2344992","141077578","305968566784"
"58.19","27112.1","8248.3","0","8039","32387.5","19194.9","2345362","141152770","306252471808"
"58.55","27106","8248.3","0","8040","32385.8","19195","2345731","141222234","306559884800"
"58.91","27112.1","8248.3","0","8039","32385.8","19190.4","2346089","141302104","306884951552"
"59.26","27117.6","8248.3","0","8040","32386.7","19183.2","2346454","141361155","307100663296"
"59.62","27115.8","8248.3","0","8039","32386.2","19183.5","2346830","141439732","307445587456"
"59.98","27113.6","8248.3","0","8039","32386.8","19183.1","2347187","141520132","307780017664"
"60.33","27089.4","8248.2","0","8041","32385.8","19187.8","2347597","141599431","308104871424"
"60.69","27107.8","8248.2","0","8041","32385.8","19190.3","2347995","141679603","308381346816"
"61.06","27108.8","8248.2","0","8041","32386.1","19189.7","2348475","141739674","308691344384"
"61.41","27106.6","8248.2","0","8041","32386.8","19190.4","2348848","141821060","309009513472"
"61.75","27103.4","8248.2","0","8041","32386.4","19189.4","2349185","141895794","309301025792"
"62.09","27103","8248.2","0","8041","32386.1","19190.2","2349479","141963126","309587254272"
"62.45","27100.9","8248.2","0","8041","32386.8","19190.6","2350035","142017680","309788900352"
"62.8","27102.2","8248.2","0","8041","32386.8","19192.2","2350663","142062324","309976166400"
"63.12","27099.2","8248.2","0","8041","32386.5","19204.6","2351101","142124368","310222458880"
"63.48","27076.8","8248.2","0","8041","32386.8","19209.7","2351648","142189866","310500168192"
"63.83","27088.2","8248.2","0","8041","32385.8","19196.6","2352135","142258224","310761263616"
"64.18","27088.3","8248.2","0","8041","32385.8","19199.9","2352577","142322450","311040422400"
"64.55","27097.1","8248.2","0","8041","32388.7","19188.9","2353121","142375997","311244628480"
"64.9","27096.2","8248.2","0","8041","32386.4","19187.8","2353674","142442057","311540843008"
"65.25","27097.9","8248.2","0","8041","32386.8","19189.3","2354274","142511894","311831745024"
"65.63","27089.3","8248.2","0","8041","32386.8","19198.6","2354753","142588408","312148832768"
"65.99","27087.5","8248.2","0","8041","32386.8","19198.3","2355304","142664670","312444883456"
"66.37","27071.2","8248.2","0","8041","32377.4","19192.7","2355965","142721167","312704579072"
"66.73","27088.8","8248.2","0","8041","32386.5","19193.5","2356545","142795871","312990717440"
"67.09","27091.4","8248.2","0","8041","32386.8","19193","2357154","142864726","313266480640"
"67.46","27090.6","8248.2","0","8041","32385.8","19193.9","2357640","142933554","313555691008"
"67.82","27089.4","8248.2","0","8041","32385.9","19192.8","2358098","143004692","313843901952"
"68.16","27083.1","8248.2","0","8041","32386","19193.9","2358795","143050227","314010600960"
"68.52","27108.2","1422.8","0","1119","32361.1","12369.4","2359581","143079732","314096233984"
"68.86","27108.2","1422.8","0","1119","32361.2","12370.5","2363487","143083638","314111598080"
"69.21","27108.3","1387.7","0","1119","32341.2","12298.4","2366431","143086630","314120998400"
"69.58","21234.9","1351.9","0","1119","26127.4","12222.2","2366433","143086662","314120998400"
"69.94","12453.1","1316.8","0","1119","17312.7","12180.1","2366433","143086662","314121063936"
"70.32","3381.4","1196","0","1119","8215.8","12043.3","2366442","143086798","314121555456"
