"t_s","ws_mb","private_mb","gpu_proc_mb","gpu_total_mb","phys_used_mb","commit_mb","page_reads","pages_input","disk_read_b"
"87.04","25189.6","8299.7","0","8061","32409.1","19337.1","1941706","104820266","157449936896"
"87.4","25200.6","8299.7","0","8061","32409.1","19325.8","1942056","104894934","157761101824"
"87.75","25202.8","8299.7","0","8061","32408.1","19315.6","1942424","104972671","158078365696"
"88.1","25211.4","8299.7","0","8061","32409.1","19305.8","1942757","105046327","158380093440"
"88.46","25205.5","8299.7","0","8082","32409.1","19356","1943142","105117127","158636733440"
"88.82","25161.6","8299.7","0","8074","32339.8","19337.2","1943450","105123974","158711456768"
"89.16","25230.6","8299.7","0","8074","32409.1","19340.9","1943922","105204520","159021494784"
"89.52","25228.6","8299.7","0","8074","32409.3","19340.9","1944295","105283787","159358743552"
"89.87","25229.1","8299.7","0","8074","32409.1","19334.5","1944740","105366641","159695008768"
"90.23","25277.2","8299.7","0","8074","32392.2","19330.4","1945262","105443436","159945848832"
"90.58","25282.1","8299.7","0","8074","32357.4","19328.3","1945272","105443516","159945979904"
"90.93","25358.6","8299.7","0","8074","32036.5","19330.2","1945479","105471290","160059774976"
"91.29","25358.7","8299.7","0","8074","31498.8","19329.8","1945481","105471306","160059910144"
"91.64","25359.2","8299.7","0","8074","31516.5","19311.2","1945505","105471481","160060491776"
"91.99","25359.3","8299.7","0","8074","31505","19316","1945508","105471498","160060524544"
"92.34","25359.3","8299.7","0","8074","31508.6","19315.7","1945513","105471523","160060626432"
"92.69","25359.4","8299.7","0","8074","31519.2","19319.9","1945513","105471523","160060630528"
"93.04","25536.8","8299.7","0","8073","31694.1","19315.5","1945797","105526553","160380442112"
"93.41","25986.9","8299.7","0","8073","32134.1","19308.5","1946323","105643765","160876922368"
"93.77","25966.3","8299.7","0","8073","32066.5","19318.8","1946792","105735636","161160410624"
"94.13","25943.9","8299.7","0","8071","32146.4","19409.1","1947382","105761136","161251424768"
"94.48","25943.9","8299.7","0","8071","32189.7","19439.6","1947564","105763033","161255568384"
"94.82","25943.9","8299.7","0","8071","32222.9","19544.8","1948146","105766397","161272479744"
"95.17","25943.9","8299.7","0","8070","32208.9","19448.8","1948565","105769078","161278795776"
"95.52","25943.9","8299.7","0","8070","32160.5","19455.6","1948927","105772462","161356593152"
"95.88","25864.6","8299.7","0","8070","31965.2","19454","1949131","105788885","161359931392"
