"t_s","ws_mb","private_mb","gpu_proc_mb","gpu_total_mb","phys_used_mb","commit_mb","page_reads","pages_input","disk_read_b"
"37.26","23165.8","4057.7","0","3564","32030.6","15279.2","1772464","84952440","76071514112"
"37.61","23166.2","4057.7","0","3564","32036.7","15279.6","1772676","85002863","76266512384"
"37.97","23278.2","4057.7","0","3564","32069","15278.4","1772996","85073514","76624023552"
"38.37","23738.3","4057.7","0","3564","32515.1","15274.2","1773807","85193463","77138465792"
"38.74","23865.1","4057.7","0","3564","32621.3","15274.9","1774942","85226345","77146656256"
"39.13","23865.2","4057.7","0","3564","32446.5","15255.9","1775161","85233374","77256733184"
"39.47","24004.5","4057.7","0","3564","32579.2","15254.3","1775415","85263432","77294908928"
"39.82","24009","4057.7","0","3564","32582.1","15257.2","1775495","85264611","77299791360"
"40.19","24062","4057.7","0","3564","32339.2","15258.6","1775582","85282739","77442442752"
"40.53","24176.4","4057.7","0","3564","32444.5","15259.5","1775703","85307623","77475890688"
"40.88","24179.9","4057.8","0","3564","32452","15256.7","1775755","85308498","77479433728"
"41.24","24184","4057.8","0","3572","32439.5","15266","1775761","85309524","77508359680"
"41.64","24412.6","4057.8","0","3572","32659.7","15265.1","1776438","85375668","77848031744"
"42.02","24475.4","4057.8","0","3572","32400.8","15266.2","1777023","85452820","78070588416"
"42.38","24475.4","4057.8","0","3572","32405.2","15266.1","1777024","85452821","78070588416"
"42.74","24475.4","4057.8","0","3572","32403.9","15266.3","1777064","85453021","78071407616"
"43.1","24475.4","4057.8","0","3572","32367.7","15144.6","1777370","85455048","78079648256"
"43.46","24475.4","4057.8","0","3572","32372.5","15144.4","1777371","85455056","78094361088"
"43.82","24345.5","4057.8","0","3572","32205.4","15143.5","1777745","85535404","78480077312"
"44.17","24356.3","4057.8","0","3572","32175.7","15144.7","1777996","85590679","78635192832"
"44.54","24356.3","4057.8","0","3572","32176.3","15145.3","1777997","85590680","78635196928"
"44.89","24356.3","4057.8","0","3572","32176.8","15149.1","1778007","85590728","78635389440"
"45.28","24365.7","4057.8","0","3572","32193.2","15150.2","1778059","85599935","78753837568"
"45.64","24391.4","4057.8","0","3572","32205.5","15153.3","1778354","85648330","78931084800"
"45.99","24391.7","4057.8","0","3572","32205.1","15149.5","1778749","85736891","79324235264"
"46.36","24392.2","4057.8","0","3572","32202.6","15150.8","1779199","85834906","79724643840"
"46.72","24389.7","4057.8","0","3572","32202.6","15149.5","1779644","85930356","80113686016"
"47.09","24412.7","4057.8","0","3572","32173.2","15148.8","1779793","85961957","80156136960"
